,country,order_value_eur,cost,date,category,customer_name,sales_manager,sales_rep,device_type,order_id,profit,profit_margin,year,month
158,Finland,205582.75,166748.17,2020-12-22,Beauty,Tromp LLC,Hube Corey,Wat Bowkley,PC,64-4923214,38834.57999999999,18.889999282527345,2020,12
159,Sweden,159793.46,139180.1,2019-06-15,Smartphones,"Swaniawski, Runolfsson and Green",Maxie Marrow,Alyosha Meah,Tablet,98-2574776,20613.359999999986,12.900002290456685,2019,6
160,Portugal,104711.22,90868.4,2020-08-25,Clothing,Marquardt-Kuvalis,Celine Tumasian,Corene Shirer,PC,33-0729966,13842.820000000007,13.21999686375539,2020,8
161,France,69126.5,55902.6,2019-12-08,Electronics,"Farrell, Swaniawski and Crist",Othello Bowes,Avrit Chanders,PC,07-3201531,13223.900000000001,19.130000795642772,2019,12
162,Sweden,20226.11,17408.61,2019-02-23,Electronics,Larkin-Collier,Maxie Marrow,Caro Morfield,PC,21-3278349,2817.5,13.930014224188437,2019,2
163,France,65036.81,52361.14,2019-05-30,Other,Considine-Fisher,Othello Bowes,Amelina Piscopiello,PC,50-1695443,12675.669999999998,19.489993436024918,2019,5
164,France,254021.98,205605.39,2019-07-03,Clothing,McGlynn-Prosacco,Othello Bowes,Maighdiln Upcraft,PC,52-3693331,48416.59,19.06000024092403,2019,7
165,Luxembourg,160185.99,130487.51,2020-09-27,Accessories,"Zieme, Bailey and Herzog",Ilsa Kob,Jocelyn Laurentino,PC,98-3033030,29698.479999999996,18.53999841059758,2020,9
166,UK,81219.67,70319.99,2020-05-20,Clothing,Hessel-Stiedemann,Jessamine Apark,Genevra Charrisson,PC,34-5793997,10899.679999999993,13.420000352131439,2020,5
167,Portugal,108412.76,88594.91,2019-08-03,Smartphones,Romaguera-Haley,Celine Tumasian,Corene Shirer,Mobile,52-7280101,19817.84999999999,18.279997668171156,2019,8
168,Spain,42028.45,36299.97,2020-03-01,Other,Hessel-Stiedemann,Emalia Dinse,Perri Aldersley,PC,55-3118263,5728.479999999996,13.630005389206588,2020,3
169,Sweden,62272.96,54600.93,2019-02-20,Beauty,Romaguera-Haley,Maxie Marrow,Caro Morfield,PC,58-9822844,7672.029999999999,12.320002132546772,2019,2
170,Sweden,91350.76,75839.4,2019-02-04,Games,Tillman and Sons,Maxie Marrow,Alyosha Meah,PC,51-5324396,15511.36,16.980001042136923,2019,2
171,UK,123272.44,101576.49,2019-01-20,Clothing,"Christiansen, Donnelly and Bechtelar",Jessamine Apark,Genevra Charrisson,Tablet,99-5465830,21695.949999999997,17.60000045427834,2019,1
172,Luxembourg,182852.21,145440.65,2019-12-28,Outdoors,Johns and Sons,Ilsa Kob,Jocelyn Laurentino,PC,01-8696189,37411.56,20.459998815436794,2019,12
173,Portugal,118321.11,94822.54,2020-11-23,Electronics,Tillman and Sons,Celine Tumasian,Aurelie Wren,Tablet,20-7636879,23498.570000000007,19.859997932744214,2020,11
174,UK,74295.81,63716.09,2019-04-11,Games,"Keeling, Monahan and Pollich",Jessamine Apark,Genevra Charrisson,PC,85-8092784,10579.720000000001,14.239995499073233,2019,4
175,UK,152865.34,121130.5,2020-12-06,Clothing,Konopelski LLC,Jessamine Apark,Genevra Charrisson,PC,97-5905883,31734.839999999997,20.759997001282304,2020,12
176,France,171458.64,148877.54,2019-08-16,Books,McGlynn-Bergstrom,Othello Bowes,Crysta Halls,PC,74-6473826,22581.100000000006,13.169998315628776,2019,8
177,UK,156177.77,130096.08,2019-12-24,Clothing,Johns and Sons,Jessamine Apark,Winny Agnolo,PC,91-0416047,26081.689999999988,16.700001543113334,2019,12
178,Portugal,116023.51,96566.37,2020-06-02,Smartphones,Tillman and Sons,Celine Tumasian,Smitty Culverhouse,PC,34-0232219,19457.14,16.769997735803717,2020,6
179,France,70657.26,61330.5,2020-09-05,Other,"Rowe, Hermiston and Kessler",Othello Bowes,Maighdiln Upcraft,PC,34-0783331,9326.759999999995,13.200002377674986,2020,9
180,Netherlands,104152.15,85696.39,2019-05-06,Smartphones,"Swaniawski, Runolfsson and Green",Denice Amberg,Nero Harbisher,Mobile,30-8215510,18455.759999999995,17.719999059068865,2019,5
181,Portugal,84224.98,68239.08,2019-01-21,Appliances,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,Mobile,95-3196761,15985.899999999994,18.97999857049535,2019,1
182,Portugal,172505.24,139125.48,2020-10-02,Accessories,Romaguera-Haley,Celine Tumasian,Brynn Dempster,PC,99-3651863,33379.75999999998,19.349997716011398,2020,10
183,Portugal,89830.34,76795.96,2019-04-19,Games,Johns and Sons,Celine Tumasian,Aurelie Wren,Tablet,94-8641337,13034.37999999999,14.5099974017687,2019,4
184,Netherlands,353925.06,287528.72,2020-12-04,Clothing,Corwin and Sons,Denice Amberg,Nero Harbisher,PC,36-2694099,66396.34000000003,18.759999645122623,2020,12
185,France,141436.98,114691.25,2019-05-26,Outdoors,Walter LLC,Othello Bowes,Maighdiln Upcraft,PC,40-5308505,26745.73000000001,18.909997936890342,2019,5
186,UK,178465.4,156282.15,2020-04-27,Accessories,Romaguera-Haley,Jessamine Apark,Winny Agnolo,PC,68-8279682,22183.25,12.430000437059508,2020,4
187,Sweden,110092.84,92797.25,2020-06-29,Other,"Rowe, Hermiston and Kessler",Maxie Marrow,Anita Woakes,Tablet,50-2481520,17295.589999999997,15.710004392656232,2020,6
188,UK,154715.49,126572.74,2020-10-23,Electronics,Smith Group,Jessamine Apark,Genevra Charrisson,PC,46-1054213,28142.749999999985,18.190001531197673,2020,10
189,Sweden,92877.57,75936.7,2020-04-05,Electronics,Wisoky Inc,Maxie Marrow,Madelon Bront,Mobile,40-9497268,16940.87000000001,18.240001326477433,2020,4
190,France,66141.13,53435.42,2019-05-26,Clothing,Stehr LLC,Othello Bowes,Ora Grennan,PC,54-5107115,12705.710000000006,19.209998377711425,2019,5
191,Germany,241782.39,196544.91,2020-06-09,Appliances,Johns and Sons,Rickard Doogood,Casie MacBain,PC,15-7053450,45237.48000000001,18.709997862127185,2020,6
192,Portugal,211872.69,177930.69,2019-07-23,Games,Johns and Sons,Celine Tumasian,Hortense Gerring,Mobile,36-2012010,33942.0,16.01999766935512,2019,7
193,Portugal,170408.23,143432.61,2020-11-03,Clothing,Romaguera-Haley,Celine Tumasian,Aurelie Wren,Mobile,61-7521706,26975.620000000024,15.829998351605449,2020,11
194,Sweden,157683.41,130624.94,2019-06-08,Electronics,Hegmann Group,Maxie Marrow,Alyosha Meah,Tablet,17-0893784,27058.47,17.159997998521213,2019,6
195,Portugal,116157.89,97166.07,2019-11-14,Games,"Parisian, Steuber and Satterfield",Celine Tumasian,Hortense Gerring,PC,23-5766200,18991.819999999992,16.35000429157244,2019,11
196,France,56106.13,45081.27,2020-03-12,Electronics,"Rowe, Hermiston and Kessler",Othello Bowes,Amelina Piscopiello,PC,24-3140242,11024.86,19.650009722645283,2020,3
197,Sweden,40385.45,32591.06,2020-07-15,Smartphones,Armstrong-Little,Maxie Marrow,Tarrah Castelletti,PC,81-0573181,7794.389999999996,19.29999541914228,2020,7
198,UK,112491.58,92254.34,2019-10-24,Appliances,Hessel-Stiedemann,Jessamine Apark,Genevra Charrisson,Mobile,13-1936536,20237.240000000005,17.9900042296499,2019,10
199,Finland,200635.57,172245.64,2019-12-11,Clothing,Larkin-Collier,Hube Corey,Wat Bowkley,PC,94-8026718,28389.929999999993,14.149998427497174,2019,12
200,Portugal,243176.92,202250.24,2020-07-03,Appliances,Gislason-Stanton,Celine Tumasian,Hortense Gerring,PC,81-5976459,40926.68000000002,16.830001794578212,2020,7
201,Portugal,52227.07,45124.19,2019-03-14,Books,"Farrell, Swaniawski and Crist",Celine Tumasian,Corene Shirer,PC,28-6038070,7102.879999999997,13.599997089631866,2019,3
202,Bulgaria,147672.87,129110.39,2019-10-15,Electronics,Homenick-Marvin,Charil Alpe,Bernadine Fullagar,PC,81-7970957,18562.479999999996,12.570000163198557,2019,10
203,France,149500.61,125401.11,2020-07-24,Games,McGlynn-Bergstrom,Othello Bowes,Crysta Halls,PC,60-8646184,24099.499999999985,16.1200011157145,2020,7
204,France,53089.52,44812.86,2019-08-24,Beauty,Goldner-Dibbert,Othello Bowes,Crysta Halls,PC,32-2114915,8276.659999999996,15.590007217997067,2019,8
205,France,85223.07,73002.08,2019-09-15,Beauty,"Hamill, Kulas and Roob",Othello Bowes,Maighdiln Upcraft,PC,58-7865136,12220.990000000005,14.340002067515293,2019,9
206,Denmark,58948.52,49416.54,2020-05-20,Clothing,Wisoky Inc,Modestia Byfford,Case Desorts,PC,98-9112505,9531.979999999996,16.170007321642675,2020,5
207,Portugal,165696.9,132275.84,2020-10-22,Electronics,Franecki-White,Celine Tumasian,Aurelie Wren,PC,03-0455038,33421.06,20.169997145390166,2020,10
208,Sweden,177993.88,145029.41,2019-12-02,Outdoors,Johns and Sons,Maxie Marrow,Alyosha Meah,Tablet,71-0122842,32964.47,18.520001923661646,2019,12
209,France,108713.83,90341.19,2020-03-09,Clothing,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,PC,55-1395838,18372.64,16.90000251118004,2020,3
210,Finland,25816.05,21447.97,2019-09-08,Clothing,Smith Group,Hube Corey,Mellicent Mattys,Mobile,95-7886861,4368.079999999998,16.920016811247258,2019,9
211,Portugal,154072.89,121887.06,2020-09-30,Beauty,"Rowe, Hermiston and Kessler",Celine Tumasian,Smitty Culverhouse,PC,19-3013452,32185.830000000016,20.89000212821348,2020,9
212,Finland,194962.05,154975.33,2020-07-05,Appliances,"Rowe, Hermiston and Kessler",Hube Corey,Mellicent Mattys,PC,54-5082146,39986.72,20.51000181830259,2020,7
213,Portugal,60744.83,52805.48,2020-03-19,Smartphones,Gislason-Stanton,Celine Tumasian,Brynn Dempster,PC,69-4462108,7939.3499999999985,13.070001183639823,2020,3
214,Sweden,39313.39,34273.41,2020-10-10,Beauty,Corwin and Sons,Maxie Marrow,Anita Woakes,Mobile,68-3731565,5039.979999999996,12.820008653540171,2020,10
215,France,119820.82,98289.02,2019-06-16,Appliances,Considine-Fisher,Othello Bowes,Amelina Piscopiello,PC,82-2972108,21531.800000000003,17.96999886997936,2019,6
216,UK,129485.51,112794.83,2019-01-05,Appliances,McGlynn-Prosacco,Jessamine Apark,Jay Morefield,PC,15-2503493,16690.679999999993,12.889998270848988,2019,1
217,Italy,163203.64,140893.7,2019-06-21,Smartphones,"Swaniawski, Runolfsson and Green",Piggy Roscrigg,Joshua Prevost,PC,37-0857161,22309.940000000002,13.670001477908214,2019,6
218,France,62788.04,53049.61,2020-02-13,Appliances,Altenwerth-Konopelski,Othello Bowes,Avrit Chanders,PC,71-2709641,9738.43,15.510007956929378,2020,2
219,Portugal,148037.71,117867.62,2020-04-14,Electronics,Romaguera-Dietrich,Celine Tumasian,Corene Shirer,PC,10-5899580,30170.089999999997,20.380003176217734,2020,4
220,Ireland,55539.67,45620.29,2020-03-21,Electronics,Altenwerth-Konopelski,Glenine Suttaby,Palm Wetherald,PC,10-9241948,9919.379999999997,17.85999088579388,2020,3
221,France,150135.0,131067.85,2020-09-09,Smartphones,Larkin-Collier,Othello Bowes,Avrit Chanders,PC,68-0080728,19067.149999999994,12.700003330336026,2020,9
222,Ireland,85294.3,72662.21,2020-03-25,Beauty,"Zieme, Bailey and Herzog",Glenine Suttaby,Bunnie Tonbridge,PC,47-0640313,12632.089999999997,14.810004888955062,2020,3
223,Luxembourg,136079.62,119178.53,2019-08-29,Games,West-Cummings,Ilsa Kob,Jocelyn Laurentino,PC,37-6597365,16901.089999999997,12.42000087889722,2019,8
224,Finland,186397.6,161233.92,2020-12-04,Appliances,Friesen and Sons,Hube Corey,Mellicent Mattys,Mobile,13-0833129,25163.679999999993,13.500002145950374,2020,12
225,Germany,32695.37,26375.35,2020-11-28,Accessories,Johns and Sons,Rickard Doogood,Casie MacBain,Mobile,15-2994585,6320.02,19.330015228455895,2020,11
226,France,86077.83,72288.16,2019-11-03,Appliances,Johns and Sons,Othello Bowes,Amelina Piscopiello,PC,85-7784608,13789.669999999998,16.02000189828205,2019,11
227,Sweden,72885.55,59773.44,2020-12-29,Clothing,Johns and Sons,Maxie Marrow,Anita Woakes,PC,22-3969127,13112.11,17.98999938945374,2020,12
228,Portugal,100469.75,82566.04,2019-05-17,Electronics,Johns and Sons,Celine Tumasian,Aurelie Wren,PC,80-2242820,17903.710000000006,17.82000054742846,2019,5
229,Sweden,40831.52,34192.31,2019-04-26,Appliances,Labadie and Sons,Maxie Marrow,Madelon Bront,PC,35-1705563,6639.209999999999,16.26001187318033,2019,4
230,Italy,142353.07,116046.22,2019-07-24,Books,Dibbert Inc,Piggy Roscrigg,Joshua Prevost,PC,93-9941140,26306.850000000006,18.480001871403267,2019,7
231,Sweden,250315.06,218825.43,2019-07-08,Beauty,McGlynn-Prosacco,Maxie Marrow,Alyosha Meah,PC,36-2366573,31489.630000000005,12.579998183089744,2019,7
232,UK,100094.97,84690.35,2020-11-08,Games,"Swaniawski, Runolfsson and Green",Jessamine Apark,Genevra Charrisson,PC,10-9932801,15404.619999999995,15.390004113093788,2020,11
233,UK,77128.75,65536.3,2020-08-09,Books,"Dickinson, Hyatt and Berge",Jessamine Apark,Jay Morefield,Mobile,70-8991739,11592.449999999997,15.029998541399928,2020,8
234,France,176114.73,149257.23,2020-11-24,Electronics,Johns and Sons,Othello Bowes,Maighdiln Upcraft,PC,97-4830372,26857.5,15.250002086707909,2020,11
235,France,146325.53,118333.46,2020-08-09,Games,Stehr-Bogan,Othello Bowes,Crysta Halls,PC,95-8015610,27992.069999999992,19.129997342227288,2020,8
236,Germany,161823.46,130494.44,2020-07-20,Clothing,Friesen-Rath,Rickard Doogood,Casie MacBain,PC,84-1062113,31329.01999999999,19.359998853071115,2020,7
237,Sweden,132632.97,112035.07,2019-04-23,Electronics,"Keeling, Monahan and Pollich",Maxie Marrow,Anita Woakes,PC,05-5082715,20597.899999999994,15.52999981829555,2019,4
238,Portugal,107232.99,85207.33,2020-03-08,Appliances,Hessel-Stiedemann,Celine Tumasian,Smitty Culverhouse,PC,35-6942653,22025.660000000003,20.540003594043217,2020,3
239,Sweden,120763.23,96719.27,2020-04-14,Clothing,"Murray, Reichel and Nolan",Maxie Marrow,Anita Woakes,PC,79-6623911,24043.959999999992,19.91000075105642,2020,4
240,Bulgaria,278731.9,221591.86,2019-12-05,Appliances,West-Cummings,Charil Alpe,Bernadine Fullagar,PC,48-7662634,57140.04000000004,20.500000179383857,2019,12
241,Bulgaria,138153.7,112926.83,2019-02-14,Games,McGlynn-Bergstrom,Charil Alpe,Bernadine Fullagar,PC,46-5888587,25226.87000000001,18.260003170381978,2019,2
242,Ireland,68802.13,54635.77,2020-09-15,Beauty,Kirlin and Sons,Glenine Suttaby,Bunnie Tonbridge,PC,17-3178991,14166.360000000008,20.590002082784366,2020,9
243,Finland,35619.28,28192.66,2019-01-08,Electronics,"Murray, Reichel and Nolan",Hube Corey,Wat Bowkley,PC,18-8528486,7426.619999999999,20.850000336896198,2019,1
244,UK,65014.84,53669.75,2020-03-27,Outdoors,"Dickinson, Hyatt and Berge",Jessamine Apark,Genevra Charrisson,Mobile,55-4588115,11345.089999999997,17.45000064600635,2020,3
245,Germany,48922.42,39387.44,2020-10-19,Outdoors,"Murray, Reichel and Nolan",Rickard Doogood,Casie MacBain,Tablet,19-9073616,9534.979999999996,19.49000069906598,2020,10
246,France,165262.34,142621.4,2020-05-19,Electronics,Altenwerth-Konopelski,Othello Bowes,Amelina Piscopiello,Mobile,96-0020600,22640.940000000002,13.699999649042852,2020,5
247,Portugal,164117.24,133509.37,2020-05-28,Electronics,"Zieme, Bailey and Herzog",Celine Tumasian,Corene Shirer,PC,88-7664123,30607.869999999995,18.650002888179205,2020,5
248,Portugal,238085.99,193587.72,2020-07-16,Clothing,"Rowe, Hermiston and Kessler",Celine Tumasian,Hortense Gerring,PC,17-8884817,44498.26999999999,18.68999935695502,2020,7
249,Sweden,117733.51,97294.97,2019-07-13,Electronics,Connelly-Mohr,Maxie Marrow,Tarrah Castelletti,PC,45-5509135,20438.539999999994,17.360002262737257,2019,7
250,France,26713.46,22043.95,2020-10-12,Beauty,Wisoky Inc,Othello Bowes,Ora Grennan,PC,81-4176165,4669.509999999998,17.479989488445145,2020,10
251,France,49664.17,39244.63,2019-10-30,Books,"Swaniawski, Runolfsson and Green",Othello Bowes,Amelina Piscopiello,PC,24-9702599,10419.54,20.979994229240116,2019,10
252,Sweden,162101.93,133912.4,2019-12-19,Smartphones,"Rowe, Hermiston and Kessler",Maxie Marrow,Tarrah Castelletti,PC,24-4272786,28189.53,17.39000269768534,2019,12
253,France,118027.37,96050.67,2019-04-06,Beauty,Johns and Sons,Othello Bowes,Ora Grennan,PC,77-3656041,21976.699999999997,18.620003139949656,2019,4
254,Sweden,147994.63,129643.3,2019-01-27,Games,Stamm Inc,Maxie Marrow,Alyosha Meah,PC,47-7207206,18351.33,12.399997216115208,2019,1
255,Finland,48946.74,38765.82,2019-04-19,Accessories,"Swaniawski, Runolfsson and Green",Hube Corey,Mellicent Mattys,PC,65-2022928,10180.919999999998,20.79999607736899,2019,4
256,Sweden,73860.57,60336.7,2020-11-13,Clothing,McGlynn-Prosacco,Maxie Marrow,Madelon Bront,PC,16-5837761,13523.87000000001,18.309999503117847,2020,11
257,Portugal,86083.27,72309.95,2019-11-30,Electronics,Connelly-Mohr,Celine Tumasian,Hortense Gerring,PC,80-7090422,13773.320000000007,15.999996282669102,2019,11
258,Finland,72385.53,60181.33,2019-09-10,Clothing,Johns and Sons,Hube Corey,Wat Bowkley,PC,66-8222460,12204.199999999997,16.859999505426014,2019,9
259,Portugal,120332.26,102282.42,2020-01-14,Clothing,"Parisian, Steuber and Satterfield",Celine Tumasian,Hortense Gerring,Tablet,44-0527427,18049.839999999997,15.000000831032342,2020,1
260,Sweden,81262.34,65326.8,2019-09-06,Books,Johns and Sons,Maxie Marrow,Anita Woakes,Mobile,75-9517276,15935.539999999994,19.609994002141697,2019,9
261,Austria,139075.59,113708.2,2020-12-16,Games,"Murray, Reichel and Nolan",Orsa Geekin,Bank Coumbe,PC,24-2403756,25367.39,18.240001714175722,2020,12
262,France,50516.2,43918.78,2019-03-22,Electronics,Wiza and Sons,Othello Bowes,Maighdiln Upcraft,PC,50-1986322,6597.419999999998,13.060008472529603,2019,3
263,Sweden,112228.82,97470.73,2019-09-15,Outdoors,Gislason-Stanton,Maxie Marrow,Madelon Bront,PC,75-9585763,14758.090000000011,13.150000151476252,2019,9
264,France,79833.6,63411.83,2019-06-15,Appliances,McGlynn-Bergstrom,Othello Bowes,Avrit Chanders,PC,86-6760202,16421.770000000004,20.569998096039765,2019,6
265,Finland,135629.36,118526.5,2020-08-12,Games,Tillman and Sons,Hube Corey,Mellicent Mattys,PC,66-7717800,17102.859999999986,12.609998307151185,2020,8
266,Luxembourg,175332.04,144999.6,2020-09-24,Accessories,Hegmann Group,Ilsa Kob,Jocelyn Laurentino,PC,89-8942175,30332.440000000002,17.299998334588476,2020,9
267,Portugal,101923.36,86115.05,2019-01-19,Beauty,"Shanahan, Schaden and Parker",Celine Tumasian,Brynn Dempster,Mobile,38-0584273,15808.309999999998,15.509996923178354,2019,1
268,Germany,190100.96,160749.37,2019-12-20,Electronics,Walter LLC,Rickard Doogood,Casie MacBain,PC,38-8840357,29351.589999999997,15.440000934240414,2019,12
269,Netherlands,152771.9,134423.99,2020-05-02,Clothing,McClure Inc,Denice Amberg,Nero Harbisher,PC,82-4495901,18347.910000000003,12.01000314848477,2020,5
270,France,52805.94,43791.97,2020-06-22,Smartphones,Kihn Inc,Othello Bowes,Amelina Piscopiello,PC,81-2373308,9013.970000000001,17.06999250463111,2020,6
271,Portugal,51416.24,43338.75,2020-04-15,Smartphones,"Spencer, Rogahn and Muller",Celine Tumasian,Aurelie Wren,PC,15-0224516,8077.489999999998,15.709997463836325,2020,4
272,Luxembourg,76426.54,66116.6,2019-03-16,Clothing,O'Connell-Mitchell,Ilsa Kob,Jocelyn Laurentino,PC,95-6935153,10309.939999999988,13.489999678122272,2019,3
273,France,118021.59,98229.37,2019-04-21,Beauty,"Lubowitz, McLaughlin and Erdman",Othello Bowes,Maighdiln Upcraft,PC,60-8661261,19792.22,16.769999455184433,2019,4
274,Portugal,59378.97,52176.3,2020-04-25,Appliances,Schoen-Keeling,Celine Tumasian,Corene Shirer,PC,56-2783503,7202.669999999998,12.130001581367946,2020,4
275,Spain,61325.25,49379.09,2020-07-29,Beauty,Hessel-Stiedemann,Emalia Dinse,Manuel Goudie,Tablet,95-1516475,11946.160000000003,19.480002119844606,2020,7
276,France,80431.34,69774.19,2019-07-22,Beauty,Hessel-Stiedemann,Othello Bowes,Crysta Halls,PC,32-5562588,10657.149999999994,13.24999682959403,2019,7
277,Portugal,177919.14,147370.42,2020-06-07,Beauty,Walter LLC,Celine Tumasian,Aurelie Wren,PC,70-7769332,30548.72,17.170002058238364,2020,6
278,Ireland,37520.09,32781.3,2020-05-27,Clothing,Kihn Inc,Glenine Suttaby,Bunnie Tonbridge,Mobile,07-6200800,4738.789999999994,12.630007017573769,2020,5
279,Spain,68745.86,58014.63,2019-04-09,Electronics,Labadie and Sons,Emalia Dinse,Manuel Goudie,PC,11-2988171,10731.230000000003,15.610001824109847,2019,4
280,Denmark,69017.42,55897.21,2020-04-02,Electronics,Hegmann Group,Modestia Byfford,Case Desorts,PC,38-3894304,13120.21,19.00999776578145,2020,4
281,France,48850.38,39788.63,2019-03-31,Appliances,"Spencer, Rogahn and Muller",Othello Bowes,Crysta Halls,PC,33-6126082,9061.75,18.550009232272092,2019,3
282,Netherlands,253291.55,219502.46,2020-06-12,Books,Altenwerth-Konopelski,Denice Amberg,Nero Harbisher,PC,25-4970452,33789.09,13.339998906398574,2020,6
283,Portugal,47186.74,38112.73,2019-07-28,Electronics,"Hartmann, Hane and Pfannerstill",Celine Tumasian,Aurelie Wren,PC,34-8903845,9074.009999999995,19.229999783837567,2019,7
284,Portugal,59670.68,51269.05,2019-09-10,Appliances,"Shanahan, Schaden and Parker",Celine Tumasian,Aurelie Wren,PC,32-2110689,8401.629999999997,14.079997077291557,2019,9
285,Portugal,228961.3,183764.34,2020-06-01,Appliances,Johns and Sons,Celine Tumasian,Hortense Gerring,PC,37-8204282,45196.95999999999,19.739999729211878,2020,6
286,France,165259.58,130703.8,2020-06-26,Outdoors,Armstrong-Little,Othello Bowes,Crysta Halls,PC,46-1318487,34555.779999999984,20.910001102507938,2020,6
287,France,219911.81,179426.05,2019-07-05,Clothing,Smith Group,Othello Bowes,Crysta Halls,PC,99-3971751,40485.76000000001,18.40999808059422,2019,7
288,Finland,55882.12,48561.56,2020-05-20,Clothing,"Murray, Reichel and Nolan",Hube Corey,Mellicent Mattys,PC,24-7985425,7320.560000000005,13.100004080017017,2020,5
289,France,16388.9,13430.7,2020-03-15,Electronics,West-Cummings,Othello Bowes,Crysta Halls,PC,30-9690927,2958.2000000000007,18.050021661002265,2020,3
290,Spain,85927.37,74490.44,2019-04-15,Clothing,"Hartmann, Hane and Pfannerstill",Emalia Dinse,Perri Aldersley,PC,37-5025811,11436.929999999993,13.309996570359356,2019,4
291,France,161212.39,138046.17,2020-07-04,Accessories,Hilll-Vandervort,Othello Bowes,Crysta Halls,PC,21-6670877,23166.22,14.369999725207224,2020,7
292,France,66678.38,53009.31,2019-03-04,Smartphones,Walter LLC,Othello Bowes,Amelina Piscopiello,PC,34-3119010,13669.070000000007,20.500003149446652,2019,3
293,Sweden,148243.05,120566.07,2020-12-07,Beauty,Johns and Sons,Maxie Marrow,Madelon Bront,PC,54-7503816,27676.97999999998,18.670001730266602,2020,12
294,Ireland,126523.36,106368.19,2020-05-14,Games,Gleichner-Green,Glenine Suttaby,Bunnie Tonbridge,PC,96-1698894,20155.17,15.929999013620883,2020,5
295,Ireland,63373.72,55572.41,2020-03-03,Clothing,"Dickinson, Hyatt and Berge",Glenine Suttaby,Bunnie Tonbridge,PC,92-0523700,7801.309999999998,12.310007997005695,2020,3
296,Ireland,76767.77,64500.28,2020-01-22,Games,"Spencer, Rogahn and Muller",Glenine Suttaby,Bunnie Tonbridge,PC,15-3657248,12267.490000000005,15.980000461131025,2020,1
297,Portugal,78938.82,65471.86,2019-04-24,Games,"Fisher, Morar and Skiles",Celine Tumasian,Brynn Dempster,PC,16-3423161,13466.960000000006,17.05999658976408,2019,4
298,France,131864.04,110277.9,2019-04-09,Appliances,"Murray, Reichel and Nolan",Othello Bowes,Ora Grennan,PC,67-2684209,21586.140000000014,16.369997461021224,2019,4
299,Portugal,116774.43,98954.65,2019-04-21,Accessories,Labadie and Sons,Celine Tumasian,Hortense Gerring,Mobile,21-7344983,17819.78,15.260001697289379,2019,4
300,France,141112.84,120044.69,2020-08-08,Electronics,Gislason-Stanton,Othello Bowes,Avrit Chanders,Mobile,47-9701762,21068.149999999994,14.93000211745437,2020,8
301,Bulgaria,33210.56,29109.06,2020-11-20,Books,Hessel-Stiedemann,Charil Alpe,Bernadine Fullagar,PC,86-3876359,4101.499999999996,12.349987473863724,2020,11
302,France,174392.33,141449.62,2020-08-03,Smartphones,Labadie and Sons,Othello Bowes,Ora Grennan,PC,34-4313860,32942.70999999999,18.88999934802178,2020,8
303,Sweden,204484.61,177308.61,2019-06-16,Games,"Hermiston, Simonis and Wisoky",Maxie Marrow,Caro Morfield,Tablet,71-4782689,27176.0,13.289997716698581,2019,6
304,Germany,80986.1,64124.79,2019-12-02,Appliances,"Dickinson, Hyatt and Berge",Rickard Doogood,Casie MacBain,Mobile,85-3690127,16861.310000000005,20.82000491442359,2019,12
305,Sweden,179179.73,154936.71,2019-10-22,Books,"Zieme, Bailey and Herzog",Maxie Marrow,Anita Woakes,PC,66-5810051,24243.02000000002,13.530001412548181,2019,10
306,Netherlands,99731.4,84731.8,2020-01-12,Electronics,Smith Group,Denice Amberg,Nero Harbisher,PC,81-9170157,14999.599999999991,15.039997433105313,2020,1
307,France,32661.62,27922.42,2020-02-08,Electronics,"Zieme, Bailey and Herzog",Othello Bowes,Amelina Piscopiello,PC,24-7300640,4739.200000000001,14.509996748477267,2020,2
308,Sweden,30166.93,24658.45,2019-11-29,Appliances,Corwin and Sons,Maxie Marrow,Tarrah Castelletti,PC,97-1288901,5508.48,18.259995299488544,2019,11
309,Germany,36747.24,31900.28,2019-01-19,Accessories,Johns and Sons,Rickard Doogood,Casie MacBain,PC,81-9757849,4846.959999999999,13.189997398444072,2019,1
310,France,66884.7,58544.18,2020-01-19,Smartphones,Wisoky Inc,Othello Bowes,Crysta Halls,PC,44-9179070,8340.519999999997,12.46999687521959,2020,1
311,Portugal,165305.7,134757.21,2019-07-13,Games,"Christiansen, Donnelly and Bechtelar",Celine Tumasian,Aurelie Wren,PC,55-2137809,30548.49000000002,18.479997967402223,2019,7
312,Sweden,50618.21,41835.95,2019-03-05,Beauty,Hegmann Group,Maxie Marrow,Tarrah Castelletti,PC,56-1063618,8782.260000000002,17.350001116199095,2019,3
313,Sweden,82116.31,70652.87,2020-05-30,Beauty,"Zieme, Bailey and Herzog",Maxie Marrow,Caro Morfield,Tablet,01-8080546,11463.440000000002,13.96000380435994,2020,5
314,Sweden,106142.65,88151.47,2019-06-04,Games,Baumbach Group,Maxie Marrow,Anita Woakes,PC,29-5632797,17991.179999999993,16.950000777255887,2019,6
315,Portugal,149514.0,122646.33,2020-10-18,Games,"Bashirian, Okuneva and Bechtelar",Celine Tumasian,Smitty Culverhouse,Mobile,20-1191256,26867.67,17.970002809101487,2020,10
316,Sweden,30975.79,27072.84,2020-03-15,Clothing,McGlynn-Bergstrom,Maxie Marrow,Tarrah Castelletti,PC,33-4022317,3902.9500000000007,12.600001485030731,2020,3
